iter	RMSE
592	0.3400184311
593	0.3389402387
594	0.3379913317
595	0.3369434897
596	0.3356961666
597	0.3349883782
598	0.3342357091
599	0.3335850992
600	0.3334258394
601	0.3330359582
602	0.3319423645
603	0.3315791214
604	0.3314238037
605	0.330755019
606	0.3281547478
607	0.3280030635
608	0.327598005
609	0.32745001
610	0.3273051449
611	0.3265201936
612	0.3245113328
613	0.3243562149
614	0.3239589337
615	0.3228009783
616	0.3226493644
617	0.3225013067
618	0.3223565426
619	0.3222142799
620	0.3220748849
621	0.3218031721
622	0.3216680461
623	0.3215354639
624	0.3212367925
625	0.3204901502
626	0.3193140831
627	0.3184273282
628	0.3173117875
629	0.3165604934
630	0.3161436304
631	0.3150020089
632	0.3146236883
633	0.3142106228
634	0.3136524065
635	0.3135223977
636	0.3122054624
637	0.3118232892
638	0.3116947859
639	0.309775835
640	0.3092559397
641	0.308183051
642	0.3080545336
643	0.3065924794
644	0.3060877622
645	0.3044173805
646	0.3042798413
647	0.3032247925
648	0.3022078176
649	0.3018919788
650	0.3015877131
651	0.3012244892
652	0.3005101942
653	0.3001926169
654	0.2990388902
655	0.2985554915
656	0.2972417259
657	0.2956755206
658	0.2945658144
659	0.2944002021
660	0.294200009
661	0.2940791402
662	0.2936830786
663	0.2924539049
664	0.2922916671
665	0.2912374754
666	0.2905468094
667	0.2895254736
668	0.2894032603
669	0.2885390799
670	0.2883557828
671	0.2880332966
672	0.2871427515
673	0.2863077807
674	0.2853591218
675	0.2847267746
676	0.2841168525
677	0.2830917118
678	0.2829765752
679	0.2813414943
680	0.2809597105
681	0.2800320614
682	0.2796300544
683	0.2781463664
684	0.2780293192
685	0.2779154433
686	0.2772819509
687	0.2765575832
688	0.2757201422
689	0.2751530336
690	0.2745758516
691	0.2739421802
692	0.2720457162
693	0.2716470576
694	0.2713176923
695	0.2710173255
696	0.2708684247
697	0.2706993572
698	0.2705934168
699	0.2691973664
700	0.2688512103
701	0.2680852946
702	0.2677794731
703	0.2668877317
704	0.2657256322
705	0.2653378493
706	0.2646361314
707	0.2640753217
708	0.2632769873
709	0.2625570246
710	0.2614692431
711	0.2603336454
712	0.259496201
713	0.2585403915
714	0.2581368347
715	0.257167035
716	0.2553642512
717	0.2549123928
718	0.2531684758
719	0.2524489549
720	0.2523411795
721	0.2520868544
722	0.2519887363
723	0.2510516932
724	0.2500458434
725	0.2497586304
726	0.2490483825
727	0.2478459549
728	0.247747797
729	0.2470529034
730	0.2460860797
731	0.2459760469
732	0.2451270456
733	0.2447883476
734	0.2442487458
735	0.2428982105
736	0.2425821634
737	0.2424471484
738	0.2420494458
739	0.2408785718
740	0.2407829876
741	0.2394873942
742	0.2391512695
743	0.2390461181
744	0.2369067551
745	0.236546644
746	0.2352174116
747	0.2350004109
748	0.2344061515
749	0.2340433522
750	0.2328986693
751	0.2327758853
752	0.2324212283
753	0.2323227937
754	0.2322307383
755	0.2317128541
756	0.2315980026
757	0.2315042285
758	0.23042605
759	0.2293186556
760	0.2279908811
761	0.2277052076
762	0.227142699
763	0.2269654768
764	0.2266295478
765	0.2261722009
766	0.2256270917
767	0.2250814916
768	0.2249859217
769	0.2242875479
770	0.2239146608
771	0.2236503983
772	0.223567535
773	0.2228830238
774	0.2223967625
775	0.2223107456
776	0.220975662
777	0.2208961637
778	0.2205127776
779	0.220434692
780	0.2202490176
781	0.2201366339
782	0.2192159735
783	0.2172015791
784	0.2169614932
785	0.216817875
786	0.2150557232
787	0.2148447459
788	0.214266939
789	0.2135288461
790	0.2132277755
791	0.2126267985
792	0.212547039
793	0.2119286083
794	0.2117244604
795	0.2109348827
796	0.2098393903
797	0.2086136472
798	0.2076210276
799	0.2071333946
